Sample Name,PPG ID,Group,Group code,Group ID,"Treatment (v=VEH, e=E2)","age (y-young, m=MA, o=old)","duration (3=3mo, 6=6mo)",timing (peri and post menopause),Tumor,cohort code,tissue collection date,"Smear before OVX  (reg, ireg, conC, conL)",ARC PCR Notes,PCR Plate ID,Raw18S_Ct,Raw GAPDH_Ct,Ar-Rn00560747_m1,Arntl-Rn00577590_m1,Avp-Rn00566449_m1,Avpr1a-Rn00583910_m1,Bdnf-Rn02531967_s1,Clock-Rn00573120_m1,Crh-Rn01462137_m1,Cry1-Rn01503063_m1,Cry2-Rn01485701_m1,Cyp19a1;LOC100359906-Rn00567222_m1,Dbh-Rn00565819_m1,Dbp-Rn00497539_m1,Drd1a-Rn03062203_s1,Drd2-Rn00561126_m1,Esr1-Rn01640372_m1,Esr2-Rn00562610_m1,Gapdh-Rn01775763_g1,Gh1-Rn01495894_g1,Ghrh-Rn00580832_m1,Gper-Rn01643280_s1,Grin1-Rn01436038_m1,Grin2a-Rn00561341_m1,Grin2b-Rn00680474_m1,Hcrt-Rn00565995_m1,Igf1-Rn00710306_m1,Igf1r-Rn00583837_m1,Kiss1-Rn00710914_m1,Kiss1r-Rn00576940_m1,Lepr-Rn01433205_m1,Mtnr1a-Rn01488022_m1,Mtnr1b-Rn01447987_m1,Nkx2-1-Rn01512482_m1,Npvf-Rn00576645_m1,Npy-Rn01410145_m1,Nr3c1-Rn00561369_m1,Nr5a1-Rn00584298_m1,Oxt-Rn00564446_g1,Oxtr-Rn00563503_m1,Pdyn-Rn00571351_m1,Per1-Rn01496757_m1,Per2-Rn01427704_m1,Pgr-Rn01448227_m1,Pomc-Rn00595020_m1,Slc17a6-Rn00584780_m1,Tac2-Rn00569758_m1,Tacr3-Rn00566955_m1,Trh-Rn00564880_m1,,ABV ID,Pitutary weight,Pit index,OVX day BW,Decap Bodyweight (g),Adrenal Weight (g),Ad index,Uterus Size (mm),E2 RIA,LH,FSH,GH,TSH,PRL,BDNF,ACTH
ABV19,PPG3 59,Y-VEH 3mo,YV3,1,v,y,,,,1.2,3/21/12,reg,,3,8.527999878,19.86199951,1.036125678,0.990204824,1.332282514,0.734991726,1.762838983,1.25179648,3.539142798,1.488026639,1.408636866,0.681931997,,1.959247912,1.245392144,1.153246354,0.360507316,1.066954504,1.805502296,0.597412751,0.093376287,1.345273584,1.162636589,1.537088877,1.354537971,8.541563702,1.06010012,1.158934878,0.402399147,0.899191163,0.808376699,0.329055009,0.456789047,1.486685166,1.915072684,0.276643567,1.067694475,3.687388682,3.765389033,0.712913763,1.036485048,1.323262361,1.225694765,0.951318227,0.139651244,1.534640064,0.276758508,1.787818443,2.15009456,,ABV19,0.0078,2.228571429,239,350,0.0497,14.2,1.88,23.41164427,54.46607662,45.15574812,8922.330816,8.486661624,7.228267536,3.538633,0.024073
ABV20,PPG3 60,Y-VEH 3mo,YV3,1,v,y,,,,1.2,3/21/12,reg,,3,8.854000092,20.26799965,1.575926726,1.524990211,0.501006332,1.250755773,2.877666752,1.62337919,1.883479232,1.670639172,2.214989137,0.48487985,,1.900395023,1.392424769,1.488336518,2.155616249,1.322712973,1.708109344,0.248927832,1.406588314,1.88282669,1.387416825,2.018383385,1.443728929,1.19540569,1.302424283,1.418925967,2.485782312,1.418828985,1.65530841,0.24989628,2.320763122,2.214682557,0.930062344,2.278524842,1.755035039,0.016059836,0.784475528,1.139025522,1.8425442,2.062080176,1.492364705,1.138394584,1.648209062,1.835152232,1.943557575,2.815128782,2.160552188,,ABV20,,,242,324,0.0487,15.0308642,1.99,23.92901769,43.955942,54.351893,3188.256,6.834597,0.994908,4.312426,0.017841
ABV25,PPG3 51,Y-VEH 3mo,YV3,1,v,y,,,,1.2,6/6/12,reg,,4,8.107000351,20.43000031,0.745458804,0.947238554,0.841421119,0.505505606,2.588111285,0.832199444,4.384462492,1.386455269,1.149734285,0.474572687,,1.425334295,0.914845731,0.79371951,0.52380437,0.650896163,0.909660387,23.29263082,0.538194837,0.862084569,0.844049973,1.364336677,1.301161709,0.627418515,0.854528019,0.92967645,0.694814255,0.534291997,0.683067289,0.274980251,0.669242308,1.162394369,1.917730455,0.825362586,0.745613157,2.553720649,0.367241508,0.534328588,0.89421891,1.233792087,0.734890286,0.777007327,0.583134509,1.327673763,0.434281107,1.802752413,0.571727984,,ABV25,0.0073,2.417218543,218,302,0.0441,14.60264901,1.55,,47.779652,53.702121,5792.015,7.669143,7.26437,3.745627,
ABV26,PPG3 52,Y-VEH 3mo,YV3,1,v,y,,,,1.2,3/21/12,reg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABV26,0.0125,3.581661891,247,349,0.0449,12.86532951,1.89,17.04706442,123.058373,113.183042,18976.14,6.848432,2.103421,4.640194,0.021853
ABV76,PPG3 144,Y-VEH 3mo,YV3,1,v,y,,,yes,3.0,8/7/12,reg,"capsule lost, reassign to Y-VEH 3mo",8,8.291999817,20.86700058,0.896390568,0.889335761,0.802125393,0.879526398,0.61212565,1.092020183,0.765460766,1.342944457,1.137841165,0.181582791,,0.966136877,0.654107304,1.045867423,0.769557113,1.110723117,0.763870047,1.02299629,1.476518908,0.853758216,0.969558047,0.582447153,0.997783657,45.45915482,1.482672309,1.018750371,1.911493442,0.706959581,1.112727311,3.015505435,0.137795423,0.817958554,3.669030441,1.361408544,1.042103828,0.060228856,0.819491036,0.398264647,1.045142994,0.952704103,1.334777192,1.161508758,0.903689251,0.676846489,1.133433672,0.882213186,2.486987394,,ABV76,0.0096,2.742857143,257,350,,,,41.82931781,31.817532,36.418733,123101.198,11.817816,0.287301,6.201909,0.039883
ABV85,PPG3 149,Y-VEH 3mo,YV3,1,v,y,,,,3.0,8/7/12,reg,,10,7.690000057,19.0739994,1.235590041,1.262952295,0.927166763,1.272617842,1.27535534,1.200803496,1.476723596,1.6625523,1.451254403,0.775769592,,1.239106494,1.505872658,1.365755976,1.530603293,1.467641062,1.744000606,428.0988263,0.83404663,1.806128159,1.508799495,1.578112676,1.585348089,0.835956102,1.092929751,1.121011125,2.077284339,1.263740647,1.232938061,1.034834524,0.798630038,1.207563828,1.268743751,1.113499248,1.246169123,0.963662656,0.827481828,0.779056173,1.661746702,1.100454742,0.940564836,1.25266506,1.750662002,1.455888261,2.125347993,2.428728292,1.158613544,,ABV85,,,251,330,0.0394,11.93939394,1.74,39.33195158,41.453404,38.022695,2239.191,9.366858,1.19756,3.783405,0.015849
ABV86,PPG3 150,Y-VEH 3mo,YV3,1,v,y,,,,3.0,8/7/12,reg,,10,8.206999779,19.48800087,1.960470641,1.166187608,2.618788356,1.268215237,0.61595615,1.869949805,0.179045805,1.955314138,1.945714861,1.955719261,,1.542531223,4.229828206,2.582377448,1.475394165,1.208736618,1.873062186,63.46098353,0.67792599,1.389821429,1.878264977,1.30875884,1.822349128,1.811895489,1.245046757,1.261202728,1.197229772,1.054603185,1.654160971,0.219668446,0.765035442,1.234648582,0.968886987,1.938713129,1.581725514,8.770143511,1.220777166,1.749325309,2.501338257,1.597813965,1.223149241,1.150291207,1.444829914,2.194511937,1.450650437,0.819717829,3.707380939,,ABV86,0.0092,2.857142857,234,322,0.0428,13.29192547,1.11,29.47261198,89.068494,175.033078,1928.567,13.433342,11.845569,5.919,0.026255
ABV87,PPG3 147,Y-VEH 3mo,YV3,1,v,y,,,,3.0,8/8/12,reg,,10,7.837999821,19.43799973,1.165702432,0.929675897,17.8877529,1.187394903,0.6610816,1.125057912,0.313252809,1.386453894,1.208568756,1.626420125,,1.266898308,2.174373093,1.279605341,0.739744858,0.890383928,1.501495326,3.155348777,2.691106581,1.268302679,1.318959166,1.428202118,1.807254612,20.72787066,1.515926538,1.209826572,0.466419164,0.463197543,0.960660624,3.864817027,0.550417994,0.606298018,0.933291053,0.94874924,1.03418897,4.619064643,9.718943114,1.63898218,1.378117672,0.836303758,1.096266852,1.314031632,1.897235594,1.447837069,0.318132631,0.70329411,0.96687461,,ABV87,0.0101,3.117283951,251,324,0.0445,13.7345679,1.69,21.83609773,62.333074,89.963204,1544.47,8.89753,1.19756,7.147983,0.020266
ABV88,PPG3 148,Y-VEH 3mo,YV3,1,v,y,,,,3.0,8/8/12,reg,,10,7.977000237,19.2689991,1.805252394,1.128807136,21.11065079,0.861426166,0.876545163,1.389918266,3.406760722,1.646496345,1.51603146,2.083054809,,1.375828536,2.395952613,1.408051288,0.845044711,1.775838301,1.858837978,1.371543419,0.647611137,1.694548273,1.589310914,1.376687529,1.566778107,7.088597207,1.483700791,1.380125398,0.201618561,1.342293194,0.972722904,0.529022544,0.436665477,1.009820976,2.011677791,0.575185449,1.362729398,6.061191447,40.33050065,1.687398194,1.062674348,1.084552152,1.299179106,1.12896489,0.232274155,2.431591423,0.25098965,1.044056808,2.246066728,,ABV88,0.0104,2.795698925,271,372,,,2.31,7.14643924,45.920321,42.807451,35317.259,12.054958,0.543056,4.037458,0.062818
ABV89,PPG3 151,Y-VEH 3mo,YV3,1,v,y,,,,3.0,8/8/12,reg,,10,7.856999874,19.50399971,1.159255994,1.14774302,2.845927438,0.62885489,1.478260494,1.209993889,1.078780016,0.996817128,1.543600309,1.818438613,,1.385397026,1.517397909,1.26198907,0.781924136,1.25832017,1.453368006,0.977250587,0.782519706,1.298548982,1.276682664,1.45014833,1.490504621,5.773712204,1.30966729,1.243839394,0.761914021,0.843055125,1.128260391,0.098714019,0.532037116,1.428102992,1.476724377,0.964664949,1.191269097,4.683542773,1.230973317,1.146947874,1.340433007,0.940891311,0.949078806,1.045359469,0.776415183,2.28611917,0.538008412,2.283426575,1.255620566,,ABV89,0.0084,2.485207101,260,338,0.0506,14.9704142,1.48,19.27817209,41.732223,47.730668,12808.422,10.042961,1.022195,4.120792,0.015849
ABV90,PPG3 152,Y-VEH 3mo,YV3,1,v,y,,,,3.0,8/8/12,ireg,,10,8.095999718,19.7670002,0.680750981,0.901750116,10.96549819,0.637191791,0.648374366,0.945402308,2.280579003,1.403860678,1.25901899,0.375451581,,0.187803986,1.734596101,3.765132171,0.154866781,1.74049659,1.42938981,4.527767468,0.196037121,1.04167062,0.879282942,1.633763295,1.117132264,8.763455878,3.329253303,1.094900464,0.01272402,0.442791505,0.636441305,0.016937925,,0.140837028,1.284671847,0.257938583,0.852929565,0.409972721,67.59292068,0.687198612,0.204291325,1.050517286,1.270678312,0.75418998,0.00706497,0.775339821,0.029090674,1.53708908,2.267965699,,ABV90,0.0088,2.492917847,254,353,0.0438,12.40793201,1.45,15.13240769,53.310657,495.720737,172082.032,10.00631,0.639714,5.019254,0.04368
ABV17,PPG3 53,Y-E2 3mo,YE3,2,e,y,,,,1.2,3/21/12,reg,,3,8.378000259,20.58699989,0.996679223,1.122566216,0.782899943,0.685771347,0.943373041,0.896888801,2.104386898,1.052922904,1.141792309,0.772014923,,1.204388047,1.423656286,1.201386824,1.203387072,1.659213683,0.984457108,1.701491761,2.505676768,1.306674482,1.110646906,1.382424517,1.601917122,1.827029371,1.379551855,0.940696221,0.179953972,0.338141845,0.906325108,0.572123741,0.265098095,1.051245162,0.635691871,1.524250665,1.071402035,1.898159494,2.67919522,1.895791998,1.070066709,0.894467212,0.847097954,3.538162682,0.971913697,0.806027729,0.407451469,1.712613925,0.428806862,,ABV17,0.0144,6.180257511,227,233,0.0615,26.39484979,4.41,140.5133855,1.291781,23.958849,9047.688,7.327572,80.529272,4.51249,0.012219
ABV18,PPG3 54,Y-E2 3mo,YE3,2,e,y,,,,1.2,3/21/12,reg,,3,8.388999939,20.59300041,0.695537474,1.175113845,0.098748211,0.287732337,0.637677881,0.998614535,0.563466171,0.998199538,1.67400089,0.646490072,,1.629353015,2.023143903,0.516091572,0.142902142,0.570975259,0.987874321,28.37993994,0.397547784,1.310302116,0.726684339,2.791809781,3.157536915,0.456124326,3.676159195,1.365851768,0.014881865,0.10059984,0.697420317,0.067190491,,0.213617149,0.064722001,0.115031392,0.768171529,0.179692269,0.11783171,0.745768627,0.095636131,1.419220705,1.07370656,1.409320131,0.045654455,1.207396607,0.058423803,0.478370327,0.410200376,,ABV18,0.0185,6.87732342,255,269,0.0605,22.49070632,4.54,101.4441414,0.94716804,16.36312037,25366.93858,12.06375139,64.86302206,3.554296,
ABV23,PPG3 57,Y-E2 3mo,YE3,2,e,y,,,,1.2,3/21/12,reg,,3,7.798999786,20.16399956,0.826565298,0.922614327,0.324637009,0.397437215,1.672377445,0.888226294,1.448340099,1.286453546,1.310665607,0.558140495,,1.12295527,0.837754584,0.865556119,0.447233251,1.195405532,0.883560065,0.787743689,0.873088867,0.9746117,0.935233902,0.944223022,0.971846754,2.518385554,0.807312407,0.782845501,0.107149629,0.697710544,0.749551956,1.356979954,0.324569633,1.031753787,0.938481246,0.451281536,0.885460787,0.250624574,0.385498946,1.076090445,0.29436934,1.092853534,1.036413109,1.56482393,0.222966608,1.079154109,0.278297334,0.920953042,1.265229249,,ABV23,0.0155,5.827067669,257,266,0.0572,21.5037594,5.84,,1.764545,16.723345,31932.356,9.301597,,1.918966,
ABV24,PPG3 58,Y-E2 3mo,YE3,2,e,y,,,,1.2,3/21/12,reg,,3,7.960999966,20.47200012,0.773890262,0.865017137,0.092327212,0.63586826,1.725363201,0.96393024,2.370843414,1.963461754,1.080201045,0.852457499,,1.148140799,0.858326801,1.086508764,0.46172326,1.057384146,0.798519604,0.813267046,1.201802957,1.229353619,0.891557852,1.002916077,0.975219872,0.751840852,1.12209815,0.977250716,0.110085758,0.578624616,1.048334531,0.646356111,0.134866062,1.021082098,1.256491383,0.800015243,0.85886258,0.512136201,0.259498697,1.192343221,0.424165524,1.383286256,2.656635689,2.030731233,0.388207592,0.981390621,0.23304814,1.217735506,0.767054038,,ABV24,,,229,237,,,5,,14.622221,33.333009,50000,19.758487,,2.465356,0.040131
