Sample Name,PPG ID,Group,Group code,Group ID,"Treatment (v=VEH, e=E2)","age (y-young, m=MA, o=old)","duration (3=3mo, 6=6mo)",timing (peri and post menopause),Tumor,cohort code,"Smear (reg, ireg, conC, conL)",mPOA PCR Notes,Plate,Raw18S_Ct,Raw GAPDH_Ct,Ar-Rn00560747_m1,Arntl-Rn00577590_m1,Avp-Rn00566449_m1,Avpr1a-Rn00583910_m1,Bdnf-Rn02531967_s1,Clock-Rn00573120_m1,Crh-Rn01462137_m1,Cry1-Rn01503063_m1,Cry2-Rn01485701_m1,Cyp19a1;LOC100359906-Rn00567222_m1,Dbh-Rn00565819_m1,Dbp-Rn00497539_m1,Drd1a-Rn03062203_s1,Drd2-Rn00561126_m1,Esr1-Rn01640372_m1,Esr2-Rn00562610_m1,Gapdh-Rn01775763_g1,Gh1-Rn01495894_g1,Ghrh-Rn00580832_m1,Gper-Rn01643280_s1,Grin1-Rn01436038_m1,Grin2a-Rn00561341_m1,Grin2b-Rn00680474_m1,Hcrt-Rn00565995_m1,Igf1-Rn00710306_m1,Igf1r-Rn00583837_m1,Kiss1-Rn00710914_m1,Kiss1r-Rn00576940_m1,Lepr-Rn01433205_m1,Mtnr1a-Rn01488022_m1,Mtnr1b-Rn01447987_m1,Nkx2-1-Rn01512482_m1,Npvf-Rn00576645_m1,Npy-Rn01410145_m1,Nr3c1-Rn00561369_m1,Nr5a1-Rn00584298_m1,Oxt-Rn00564446_g1,Oxtr-Rn00563503_m1,Pdyn-Rn00571351_m1,Per1-Rn01496757_m1,Per2-Rn01427704_m1,Pgr-Rn01448227_m1,Pomc-Rn00595020_m1,Slc17a6-Rn00584780_m1,Tac2-Rn00569758_m1,Tacr3-Rn00566955_m1,Trh-Rn00564880_m1,,,,,,,,,,,,,,,,,
ABV19,PPG3 59,Y-VEH 3mo,YV3,1,v,y,,,,1.2,reg,,3,9.369,22.032,1.088619482,0.679431432,1.832864235,0.799294856,0.740822486,0.873028016,1.722017217,0.83381555,1.017620814,1.374303055,,1.148140931,0.628985994,0.968349711,0.992679575,0.701541481,0.943503609,54.48547769,1.942210812,0.77555433,0.841888066,1.255445942,0.95184591,0.568565941,0.797855577,0.890013893,4.937908739,1.325282362,1.449946423,1.582164845,,1.114657052,,1.887268697,0.896950241,2.632439021,3.063964346,0.879953948,1.187394933,0.744735419,0.705197789,0.815185291,13.55731778,0.656560492,1.675510039,1.264266047,1.44332898,,,,,,,,,,,,,,,,,
ABV20,PPG3 60,Y-VEH 3mo,YV3,1,v,y,,,,1.2,reg,,3,8.685,21.272,0.936596635,0.779920981,2.436989316,1.077583533,0.867658838,0.779758812,1.666821446,0.91878562,1.256316605,1.788438088,,0.958798621,0.853285121,0.552329107,1.608147807,1.448540795,0.994539062,5.222714521,6.487667143,1.187806436,0.805915417,0.751164042,0.808769191,0.402594561,0.509869353,0.702660527,8.105494325,0.933226882,1.404444478,0.747372778,,1.977393374,,2.479930757,1.042537918,4.306154588,0.846979825,0.861247579,1.616417484,0.937441051,0.675065716,0.753249609,17.96354119,0.821310612,2.19862313,1.321613282,0.939783389,,,,,,,,,,,,,,,,,
ABV25,PPG3 51,Y-VEH 3mo,YV3,1,v,y,,,,1.2,reg,,4,9.041999817,21.65600014,0.762336577,0.842296075,4.783609594,0.861425967,1.061569977,0.701297935,1.914676045,0.796529952,1.117442351,0.651437771,,0.96949117,0.630295407,0.710841554,1.237475399,0.942523732,0.97609916,31.44590815,2.497872411,0.666787929,0.861366861,1.118216598,0.99640258,0.631301165,0.640024812,0.801569609,3.718962075,0.696067821,1.375541036,0.620670741,,1.309122637,,1.326200714,0.914527962,4.663455051,4.378386817,0.709807698,2.274893983,0.909282266,0.605038998,0.817448427,18.85663287,0.720964518,1.751511342,2.151436749,0.835898496,,,,,,,,,,,,,,,,,
ABV26,PPG3 52,Y-VEH 3mo,YV3,1,v,y,,,,1.2,reg,Didn't ran RNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABV76,PPG3 144,Y-VEH 3mo,YV3,1,v,y,,,yes,3.0,reg,,8,8.762000084,21.5340004,1.033472596,0.727692003,5.468326901,1.121788105,1.095963655,0.948092551,3.523722783,0.766203653,0.937051173,1.230888002,,0.829492151,0.437726015,1.261028205,1.192012979,1.229950857,0.874845177,0.984046465,4.845683292,0.955481567,0.967075544,1.353036011,1.094141964,0.780461364,0.60340548,0.935558804,6.606561335,0.87861271,1.973833149,0.798244087,,2.299947505,,2.498911222,0.956011127,4.042928785,6.937423363,0.92948218,2.128444682,0.686246614,0.73667464,1.179520017,18.55839982,1.018185418,2.010564597,1.949763681,1.308940921,,,,,,,,,,,,,,,,,
ABV85,PPG3 149,Y-VEH 3mo,YV3,1,v,y,,,,3.0,reg,18S very off,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABV86,PPG3 150,Y-VEH 3mo,YV3,1,v,y,,,,3.0,reg,,10,8.609000206,20.57299995,0.600193557,0.663606738,0.035874452,0.359434299,0.78796318,1.065182756,2.29755572,0.571489728,1.144883821,0.744684391,,0.668639,0.34678168,2.069956854,0.724169882,0.646445736,1.531664365,3.105443435,0.328211874,0.786380694,0.971779205,1.867619284,0.84194604,0.083354265,0.747010418,0.817845367,0.189845956,1.344714213,0.521232377,0.459743293,,1.715466077,,0.273061799,0.812309044,,0.094299878,0.377487264,0.286736883,0.753040732,0.517309379,1.110492776,0.046746462,0.785672386,0.548894044,1.84586969,0.399260053,,,,,,,,,,,,,,,,,
ABV87,PPG3 147,Y-VEH 3mo,YV3,1,v,y,,,,3.0,reg,,10,8.338000298,20.24399948,0.676658621,0.86417833,0.444452488,0.73652165,0.849802431,1.174543234,2.496835351,0.862023966,0.90450542,1.281381496,,0.758015455,0.652522813,1.134141514,1.276683466,0.964331341,1.594496309,1.985908058,0.61544457,1.399877456,0.75612725,1.125214064,0.850746358,1.157008861,1.05131886,0.784530006,0.2575456,1.43326021,1.163119682,1.784971655,,1.488233267,,0.531558304,0.852103662,0.170802412,0.374593945,0.452346293,0.563231656,0.747838982,0.763711434,0.867659573,0.08373651,0.848507796,0.873331676,1.148937797,1.220438968,,,,,,,,,,,,,,,,,
ABV88,PPG3 148,Y-VEH 3mo,YV3,1,v,y,,,,3.0,reg,,10,8.373999596,21.1779995,0.484141366,0.618737209,1.029610802,0.821196525,0.628157635,0.998682959,0.411538398,0.869826986,1.044780105,0.386007066,,0.898941699,0.908840468,1.144406222,0.576502835,0.881235655,0.855654357,0.021238092,1.173403077,0.995366654,0.809274211,0.955414997,0.709954951,0.670077471,0.72759032,0.66799082,0.976640922,1.080200866,1.094292414,0.779649532,,1.185585453,,1.309756421,1.271118572,2.293260106,0.563465147,0.737389857,0.623646189,0.908651964,1.003540353,0.785236973,5.077082054,0.976707808,0.569039078,1.613619546,1.274031038,,,,,,,,,,,,,,,,,
ABV89,PPG3 151,Y-VEH 3mo,YV3,1,v,y,,,,3.0,reg,,10,8.159000397,20.55800056,0.839440481,0.941087716,1.825257821,0.778517145,0.80619465,1.193418116,4.019733926,1.364905383,1.18607961,0.977859921,,0.903940571,0.787363155,1.66624439,0.694188905,0.819945904,1.132962236,0.276586344,1.146868989,1.035480311,1.170967082,1.168128827,0.989519768,0.982412489,0.814055952,0.830988122,0.084723187,1.484832504,0.766841689,0.93880678,,0.537598068,,0.756966327,1.191766057,0.775071021,5.674132999,0.662733661,0.86801984,0.611235469,1.00215154,1.014803144,0.723467296,0.832199252,1.184765187,0.989862188,2.405607374,,,,,,,,,,,,,,,,,
